Albany,NY  ,1272,195
Albuquerque,NM  ,551,411
Amarillo,TX  ,659,406
Asheville,NC  ,1080,400
Atlanta,GA  ,1039,450
Augusta,GA  ,1093,458
Austin,TX  ,747,544
Bakersfield,CA  ,277,400
Baltimore,MD  ,1215,291
Baton Rouge,LA ,891,537
Bend,OR  ,227,159
Billings,MT  ,508,110
Birmingham,AL  ,988,452
Bismarck,ND  ,680,82
Boise,ID  ,339,172
Boston,MA  ,1333,206
Brownsville,TX  ,753,667
Buffalo,NY  ,1164,190
Casper,WY  ,554,190
Charleston,WV  ,1101,318
Charleston,SC  ,1135,471
Charlotte,NC  ,1116,406
Chattanooga,TN  ,1022,411
Cheyenne,WY  ,590,240
Chicago,IL  ,968,219
Cincinnati,OH  ,1039,297
Cleveland,OH  ,1099,229
Columbus,OH  ,1073,272
Corpus Chrsti,TX ,756,616
Dallas,TX  ,765,472
Davenport,IA,903,229
Daytona Bch,FL ,1113,575
Denver,CO  ,589,279
Des Moines,IA ,836,229
Detroit,MI  ,1070,204
Dubuque,IA  ,901,205
Duluth,MN  ,868,81
Durango,CO  ,526,352
El Paso,TX ,555,502
Eugene,OR  ,185,157
Fargo,ND  ,766,79
Flagstaff,AZ  ,439,408
Fort Smith,AR ,820,403
Fort Wayne,IN ,1022,244
Fresno,CA  ,262,362
Gainesville,FL  ,1086,561
Grand Island,NE ,733,245
Grand Jct,CO ,508,297
Grand Rapids,MI ,1015,191
Great Falls,MT ,446,63
Green Bay,WI ,957,147
Greensboro,NC  ,1137,382
Harrisburg,PA  ,1205,264
Hartford,CT  ,1298,224
Houston,TX  ,798,553
Huntsville,AL  ,987,422
Idaho Falls,ID ,430,173
Indianapolis,IN  ,998,280
Jackson,MS  ,914,487
Jacksonville,FL  ,1099,542
Kansas City,MO ,815,297
Knoxville,TN  ,1048,389
Lake Charles,LA ,845,549
Las Vegas,NV ,362,382
Lexington,KY  ,1026,327
Little Rock,AR ,865,420
Los Angeles,CA ,291,442
Louisville,KY  ,1011,322
Mackinaw City,MI,1033,112
Madison,WI  ,931,184
Memphis,TN ,916,411
Miami,FL ,1130,669
Milwaukee,WI  ,961,187
Minneapolis,MN  ,844,133
Missoula,MT  ,386,78
Mobile,AL  ,955,533
Montgomery,AL  ,995,488
Nashville,TN  ,989,381
New Orleans,LA ,911,553
New York,NY ,1268,250
Oklahoma Cty,OK ,749,401
Omaha,NE  ,786,236
Orlando,FL  ,1107,593
Peoria,IL  ,923,253
Philadelphia,PA  ,1241,275
Phoenix,AZ  ,432,456
Pittsburgh,PA  ,1131,258
Portland,OR  ,199,115
Portland,ME  ,1349,170
Rapid City,SD ,628,159
Redding,CA  ,205,258
Reno,NV  ,261,286
Richmond,VA  ,1195,342
Roanoke,VA ,1137,347
Roswell,NM  ,596,460
Sacramento,CA  ,223,313
Saint George,UT ,397,354
Saint Louis,MO ,908,307
Salina,KS  ,748,306
Salt Lake City,UT,433,250
San Antonio,TX ,730,565
San Diego,CA ,318,476
San Francisco,CA ,204,339
San Luis Obispo,CA,242,406
Savannah,GA ,1110,492
Scranton,PA,1231,233
Seattle,WA  ,205,63
Shreveport,LA  ,832,483
Sioux City,IA ,776,205
Sioux Falls,SD ,768,172
Spokane,WA  ,313,57
Springfield,MO  ,842,350
Syracuse,NY  ,1221,185
Tallahassee,FL  ,1040,541
Tampa,FL ,1080,609
Tiftin,GA,1059,511
Toledo,OH  ,1052,227
Tucson,AZ  ,456,493
Tulsa,OK  ,786,378
Washington,DC  ,1201,301
Wichita,KS  ,755,337
Wilmington,NC  ,1182,432
Yuma,AZ  ,366,465
